X,Y,Moran's I
417,342,13.268324897370075
43,373,10.942917289603267
626,325,11.921540963690159
513,433,1.1855750014607298
159,343,-0.9759610441033812
623,346,-1.1931544230647408
58,260,1.486399675131639
253,33,1.5773652231654969
227,14,-0.017282251144341645
370,51,15.72487062595209
84,236,-2.223231509992944
471,192,7.2503690171062685
59,95,0.6573491630823178
123,316,6.766730427522674
35,221,1.7911334469460356
23,103,17.707915323267365
83,420,-23.45067060422591
252,338,-8.044992286959074
476,233,6.15459265114757
338,440,1.6195666198976333
78,475,2.0656842190130065
536,137,-5.605582265520312
304,269,2.4119804524372674
563,87,12.278813780770239
453,107,-5.7699642504827455
618,31,-2.419631574716675
63,70,8.330168321010062
497,416,-1.6167701932454392
306,403,2.2821230952868583
582,144,13.584140628151285
219,475,3.5147188324256833
565,411,1.681510020663408
91,210,-0.22399921205794682
307,247,33.16080627850041
251,198,5.840980987000697
158,107,-408.0039969309333
156,24,-0.019681100475252514
181,221,28.587953547631898
257,404,-2.202448663498662
41,452,4.390610894628712
527,151,1.2427474996855936
413,79,1.9529180896639398
178,159,-51.354705142879396
164,299,1.8806020037357285
600,322,7.402098070410159
44,20,-3.691726518596489
512,79,-1.7452311181032794
221,316,-28.825921634674625
500,97,1.6059915339060484
256,367,9.591297324113425
154,474,5.241606357884792
607,116,-7.79118836391587
273,241,2.379497468023897
151,195,-2.5175392491152873
268,339,-9.716992416339338
485,475,0.7429250759525742
175,204,2.5036803647265224
380,13,2.7113551868036514
115,193,-0.2184415787459383
257,385,0.5642812469782107
537,366,-9.840599544492157
12,105,40.45319533373067
271,420,-10.378292468315484
335,321,-39.79331949506674
85,23,-3.7744263745734976
549,320,8.424240948415193
604,46,19.337705785114593
306,231,-34.99009227970811
531,58,3.9072825251558116
417,170,47.83968858312487
131,351,6.095808293230709
623,215,6.868588643670982
114,461,-6.06317729336372
520,122,3.9105728846335825
330,324,1.6078854830169114
397,297,-64.08616879073239
203,154,1.6903515143336196
333,117,6.380107598724467
570,244,-3.2368610557328483
326,245,10.93879696869577
612,6,7.680499609479691
553,134,-1.8309933592813623
41,110,4.423327595889071
286,177,4.973829051104011
128,39,13.58212975106709
571,300,-2.6464252252838016
469,126,5.502045620932677
547,386,-6.106286241501252
192,478,-0.5556174554094517
579,263,4.008639006967426
141,479,12.995030328088621
67,395,11.65119795717731
268,257,5.5123083987053105
255,191,4.106936837245376
537,209,-57.932095644223374
194,277,-6.743236965559505
342,221,55.24441600553669
223,47,-0.7266606076704041
319,394,1.8352103151329058
183,270,1.4061464364979996
