X,Y,Moran's I
531,352,0.4256069882603674
287,8,-15.34921740216345
106,321,14.408875443713693
374,13,-50.37615462194929
347,322,8.836048773402963
291,442,-5.174936833052996
636,458,-4.965667349256132
128,139,332.0074889831891
54,330,-1.6536697118070485
135,308,1.6303572448660841
511,250,-3.8116860987248287
317,258,1.8318828264668165
423,55,-5.598788132159662
422,234,0.9432927414020912
68,25,2.9052034659351524
140,212,4.127344420873966
6,157,0.8851383310309638
621,186,23.81542764088561
40,126,1.0179235243135207
136,176,-2.5818185156153826
440,37,-29.890861665716564
46,290,225.65549768236522
165,51,-3.144208860126511
466,190,0.22822203203494712
127,169,39.37142325214839
618,72,5.925208996942017
286,187,-3.7165025111257632
633,422,-3.931115033118022
292,95,-10.338680333567927
473,302,5.340432466619772
611,173,-29.488532367319834
338,290,3.957182140082499
539,412,-0.509713372476414
48,9,-16.878959858648294
220,162,-4.483069735866412
356,201,1.0943128702401974
85,78,-3.35351098004896
489,266,-10.395578280898334
582,144,9.031282340173783
322,191,2.1301162986762177
362,376,0.16347089940919443
365,307,9.206275828844802
374,393,63.26745317341697
164,357,-30.651446622155277
107,78,15.853666161694502
55,416,6.014609594334023
37,445,-82.06719305889838
306,296,-7.932570237075617
585,271,6.695094458674367
32,44,31.875266496578746
463,96,8.224282680416232
547,345,-0.9149710583368464
565,143,-1.4720383404694972
276,460,5.499979564613454
605,217,11.54931652765646
88,163,8.547535305071438
301,36,7.6963009969493354
504,281,-9.69053349265275
265,366,-7.442329803825634
616,416,-0.1728454489353281
351,384,-14.59939589209036
40,279,-147.70603288285272
347,295,4.907178635478132
86,242,4.854771677466905
457,373,6.132438132918122
290,157,-2.239937902007552
26,289,-7.148032604123974
538,273,-28.562484111916607
371,290,6.437826664082105
565,262,9.859487672030168
216,313,4.470134963354232
214,87,47.341132864430435
469,387,3.607330205325524
363,219,6.392946777463325
181,271,-1.3827161814901465
347,346,12.424340382423395
532,180,1.0300041445152128
274,195,4.496295881777127
190,37,-1.4167973419034317
421,92,-4.359783046896504
332,88,-1.4570794576641517
199,73,-21.55444026860256
85,448,-4.582116846294278
203,257,1.527360996558141
431,334,5.1874660711987195
351,12,-9.582861192219006
501,145,-7.964517511276908
520,401,2.401882689984789
204,371,-4.464518366974777
324,385,-5.4121392929473195
62,392,8.94769628238592
293,266,3.7938721670596873
485,348,-3.4244530520630487
31,43,32.98889216637058
460,478,-1.2555919905735888
140,89,20.42001551215503
271,118,8.79003790647072
586,78,0.6445288065193141
373,188,-3.6555119245228616
382,143,-5.7942808154525824
